"mal_id","dub_status_de"
918,"dubbed, partially dubbed"
919,"unknown"
924,"dubbed"
925,"dubbed"
926,"dubbed"
927,"dubbed"
928,"dubbed"
929,"dubbed"
930,"unknown"
934,"dubbed"
935,"dubbed"
940,"unknown"
942,"unknown"
943,"unknown"
944,"dubbed"
951,"dubbed"
952,"dubbed"
953,"dubbed"
956,"dubbed, partially dubbed"
957,"dubbed"
958,"dubbed"
959,"dubbed"
960,"unknown"
961,"dubbed, partially dubbed"
962,"dubbed"
965,"unknown"
966,"dubbed, partially dubbed"
967,"dubbed, partially dubbed"
968,"unknown"
969,"dubbed"
970,"unknown"
971,"dubbed"
973,"dubbed"
980,"dubbed"
988,"unknown"
990,"unknown"
992,"dubbed"
996,"dubbed"
998,"dubbed"
1000,"dubbed, partially dubbed"
1005,"dubbed"
1013,"dubbed"
1017,"dubbed"
1018,"dubbed"
1019,"dubbed"
1021,"unknown"
1022,"dubbed"
1035,"unknown"
1037,"unknown"
1040,"unknown"
1045,"dubbed"
1046,"dubbed"
1048,"dubbed"
1050,"dubbed"
1062,"unknown"
1065,"unknown"
1067,"unknown"
1068,"unknown"
1069,"dubbed"
1070,"unknown"
1082,"dubbed"
1083,"dubbed"
1086,"dubbed"
1087,"unknown"
1088,"dubbed"
1093,"unknown"
1098,"dubbed"
1108,"dubbed"
